=== 316 室外 EEV + 化霜（外机1）===
版本 = [316, 12, 14, 2026, 9, 17]   机型=2 风机=2   BoardAddressSet=1
环温 = 5.0C   翅片1 = 11.0C
**EEVCtrlNum[804] = 99**  <- 本机实际控制几路电磁头；第 99 路之后是未用通道

  ⚠ 室外 EEV 在制热时**应该是有开度的**（按过热度控制）；
     化霜一开始必须归 0 —— 那就是 #2 的判据。

   t | St Tmd | Comp Four Fan | DefC0 | EEV1..4 目标/当前/跑 | CanDef DSig | f1410 Gap0 DefRT | 环温 翅片1 | 动作
    205 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   118 |   5.0  11.0 |
    206 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   119 |   5.0  11.0 |
    206 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   120 |   5.0  11.0 |
    207 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   121 |   5.0  11.0 |
    209 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   122 |   5.0  11.0 |
    210 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   123 |   5.0  11.0 |
    211 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   124 |   5.0  11.0 |
    211 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   125 |   5.0  11.0 |
    212 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   126 |   5.0  11.0 |
    214 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   127 |   5.0  11.0 |
    215 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   128 |   5.0  11.0 |
    215 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   129 |   5.0  11.0 |
    216 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   129 |   5.0  11.0 |
    217 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   130 |   5.0  11.0 |
    218 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   131 |   5.0  11.0 |
    218 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   132 |   5.0  11.0 |
    219 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   133 |   5.0  11.0 |
    221 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   134 |   5.0  11.0 |
    222 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   135 |   5.0  11.0 |
    222 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   136 |   5.0  11.0 |
    224 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   137 |   5.0  11.0 |
    225 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   138 |   5.0  11.0 |
    225 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   139 |   5.0  11.0 |
    226 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   140 |   5.0  11.0 |
    228 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   141 |   5.0  11.0 |
    229 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   142 |   5.0  11.0 |
    229 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   143 |   5.0  11.0 |
    230 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   144 |   5.0  11.0 |
    232 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   145 |   5.0  11.0 |
    233 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   146 |   5.0  11.0 |
    233 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   147 |   5.0  11.0 |
    235 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   148 |   5.0  11.0 |
    236 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   149 |   5.0  11.0 |
    237 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   150 |   5.0  11.0 |
    238 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   151 |   5.0  11.0 |
    239 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   152 |   5.0  11.0 |
    240 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   153 |   5.0  11.0 |
    240 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   154 |   5.0  11.0 |
    242 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   155 |   5.0  11.0 |
    243 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   156 |   5.0  11.0 |
    243 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   157 |   5.0  11.0 |
    245 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   158 |   5.0  11.0 |
    246 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   159 |   5.0  11.0 |
    247 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   160 |   5.0  11.0 |
    247 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   161 |   5.0  11.0 |
    249 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   162 |   5.0  11.0 |
    250 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   163 |   5.0  11.0 |
    250 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   164 |   5.0  11.0 |
    252 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   165 |   5.0  11.0 |
    253 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   166 |   5.0  11.0 |
    254 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   167 |   5.0  11.0 |
    254 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   168 |   5.0  11.0 |
    256 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   169 |   5.0  11.0 |
    257 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   170 |   5.0  11.0 |
    257 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   171 |   5.0  11.0 |
    259 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   172 |   5.0  11.0 |
    260 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   173 |   5.0  11.0 |
    261 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   174 |   5.0  11.0 |
    261 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   174 |   5.0  11.0 |
    262 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   175 |   5.0  11.0 |
    263 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   176 |   5.0  11.0 |
    264 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   177 |   5.0  11.0 |
    264 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   178 |   5.0  11.0 |
    266 |  1   0 | [1, 1] [0, 0] [0, 0] |     2 | 0/0/0 0/0/0 0/530/0 0/530/0   | [5, 0] [1, 0] |    0  564   179 |   5.0  11.0 |
    267 |  2   0 | [0, 0] [0, 0] [0, 0] |     0 | 0/0/0 0/0/0 0/530/0 0/530/0   | [7, 0] [0, 0] |    0  564   180 |   5.0  11.0 |
    327 |  0   0 | [0, 0] [0, 0] [0, 0] |     0 | 0/0/0 0/0/0 0/530/0 0/530/0   | [0, 0] [0, 0] |    0    0     0 |   5.0  11.0 |
    459 |  0   0 | [0, 0] [0, 0] [1, 0] |     0 | 0/0/0 0/0/0 0/530/0 0/530/0   | [0, 0] [0, 0] |    0    0     0 |   5.0  11.0 |
    474 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/2/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    0     0 |   5.0  11.0 |
    474 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/5/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    0     0 |   5.0  11.0 |
    474 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/9/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    0     0 |   5.0  11.0 |
    474 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/12/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    0     0 |   5.0  11.0 |
    474 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/16/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    0     0 |   5.0  11.0 |
    474 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/19/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    0     0 |   5.0  11.0 |
