=== 316 室外 EEV + 化霜（外机1）===
版本 = [316, 12, 14, 2026, 9, 17]   机型=2 风机=2   BoardAddressSet=1
环温 = 5.0C   翅片1 = 11.0C
**EEVCtrlNum[804] = 99**  <- 本机实际控制几路电磁头；第 99 路之后是未用通道

  ⚠ 室外 EEV 在制热时**应该是有开度的**（按过热度控制）；
     化霜一开始必须归 0 —— 那就是 #2 的判据。

   t | St Tmd | Comp Four Fan | DefC0 | EEV1..4 目标/当前/跑 | CanDef DSig | f1410 Gap0 DefRT | 环温 翅片1 | 动作
    474 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/23/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    0     0 |   5.0  11.0 |
    475 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/26/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    0     0 |   5.0  11.0 |
    475 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/30/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    1     0 |   5.0  11.0 |
    475 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/33/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    1     0 |   5.0  11.0 |
    475 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/37/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    1     0 |   5.0  11.0 |
    475 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/40/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    1     0 |   5.0  11.0 |
    475 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/44/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    1     0 |   5.0  11.0 |
    475 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/47/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    1     0 |   5.0  11.0 |
    475 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/51/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    1     0 |   5.0  11.0 |
    475 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/54/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    1     0 |   5.0  11.0 |
    476 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/58/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    1     0 |   5.0  11.0 |
    476 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/61/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    2     0 |   5.0  11.0 |
    476 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/65/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    2     0 |   5.0  11.0 |
    476 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/68/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    2     0 |   5.0  11.0 |
    476 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/72/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    2     0 |   5.0  11.0 |
    476 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/75/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    2     0 |   5.0  11.0 |
    476 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/79/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    2     0 |   5.0  11.0 |
    476 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/82/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    2     0 |   5.0  11.0 |
    477 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/86/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    2     0 |   5.0  11.0 |
    477 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/89/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    3     0 |   5.0  11.0 |
    477 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/93/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    3     0 |   5.0  11.0 |
    477 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/96/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    3     0 |   5.0  11.0 |
    477 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/100/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    3     0 |   5.0  11.0 |
    477 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/103/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    3     0 |   5.0  11.0 |
    477 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/106/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    3     0 |   5.0  11.0 |
    477 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/110/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    3     0 |   5.0  11.0 |
    478 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/113/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    3     0 |   5.0  11.0 |
    478 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/117/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    4     0 |   5.0  11.0 |
    478 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/120/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    4     0 |   5.0  11.0 |
    478 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/124/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    4     0 |   5.0  11.0 |
    478 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/127/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    4     0 |   5.0  11.0 |
    478 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/131/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    4     0 |   5.0  11.0 |
    478 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/134/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    4     0 |   5.0  11.0 |
    478 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/138/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    4     0 |   5.0  11.0 |
    479 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/141/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    4     0 |   5.0  11.0 |
    479 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/145/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    5     0 |   5.0  11.0 |
    479 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/148/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    5     0 |   5.0  11.0 |
    479 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/152/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    5     0 |   5.0  11.0 |
    479 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/155/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    5     0 |   5.0  11.0 |
    479 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/159/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    5     0 |   5.0  11.0 |
    479 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/162/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    5     0 |   5.0  11.0 |
    479 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/165/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    5     0 |   5.0  11.0 |
    480 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/169/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    5     0 |   5.0  11.0 |
    480 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/172/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    6     0 |   5.0  11.0 |
    480 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/176/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    6     0 |   5.0  11.0 |
    480 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/179/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    6     0 |   5.0  11.0 |
    480 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/183/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    6     0 |   5.0  11.0 |
    480 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/187/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    6     0 |   5.0  11.0 |
    480 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/190/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    6     0 |   5.0  11.0 |
    480 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/194/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    6     0 |   5.0  11.0 |
    480 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/197/1 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    6     0 |   5.0  11.0 |
    481 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/200/0 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    6     0 |   5.0  11.0 |
    481 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/200/0 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    7     0 |   5.0  11.0 |
    482 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/200/0 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    8     0 |   5.0  11.0 |
    483 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/200/0 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0    9     0 |   5.0  11.0 |
    484 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/200/0 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   10     0 |   5.0  11.0 |
    485 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/200/0 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   11     0 |   5.0  11.0 |
    486 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/200/0 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   12     0 |   5.0  11.0 |
    487 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/200/0 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   13     0 |   5.0  11.0 |
    488 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/200/0 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   14     0 |   5.0  11.0 |
    489 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/200/0 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   15     0 |   5.0  11.0 |
    490 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/200/0 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   16     0 |   5.0  11.0 |
    491 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/200/0 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   17     0 |   5.0  11.0 |
    492 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/200/0 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   18     0 |   5.0  11.0 |
    493 |  0   0 | [1, 0] [0, 0] [1, 0] |     0 | 200/200/0 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   19     0 |   5.0  11.0 |
    494 |  0   0 | [1, 0] [0, 0] [1, 1] |     0 | 200/200/0 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   20     0 |   5.0  11.0 |
    495 |  0   0 | [1, 0] [0, 0] [1, 1] |     0 | 200/200/0 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   21     0 |   5.0  11.0 |
    496 |  0   0 | [1, 0] [0, 0] [1, 1] |     0 | 200/200/0 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   22     0 |   5.0  11.0 |
    497 |  0   0 | [1, 0] [0, 0] [1, 1] |     0 | 200/200/0 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   23     0 |   5.0  11.0 |
    498 |  0   0 | [1, 0] [0, 0] [1, 1] |     0 | 200/200/0 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   24     0 |   5.0  11.0 |
    499 |  0   0 | [1, 0] [0, 0] [1, 1] |     0 | 200/200/0 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   25     0 |   5.0  11.0 |
    500 |  0   0 | [1, 0] [0, 0] [1, 1] |     0 | 200/200/0 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   26     0 |   5.0  11.0 |
    501 |  0   0 | [1, 0] [0, 0] [1, 1] |     0 | 201/201/0 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   27     0 |   5.0  11.0 |
    502 |  0   0 | [1, 0] [0, 0] [1, 1] |     0 | 201/201/0 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   28     0 |   5.0  11.0 |
    503 |  0   0 | [1, 0] [0, 0] [1, 1] |     0 | 201/201/0 0/0/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   29     0 |   5.0  11.0 |
    504 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 201/201/0 200/4/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   30     0 |   5.0  11.0 |
    504 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 201/201/0 200/7/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   30     0 |   5.0  11.0 |
    504 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 201/201/0 200/10/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   30     0 |   5.0  11.0 |
    504 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 201/201/0 200/14/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   30     0 |   5.0  11.0 |
    504 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 201/201/0 200/17/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   30     0 |   5.0  11.0 |
    504 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 201/201/0 200/21/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   30     0 |   5.0  11.0 |
    504 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 201/201/0 200/25/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   30     0 |   5.0  11.0 |
    505 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 201/201/0 200/28/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   30     0 |   5.0  11.0 |
    505 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 201/201/0 200/31/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   31     0 |   5.0  11.0 |
    505 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 201/201/0 200/35/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   31     0 |   5.0  11.0 |
    505 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 201/201/0 200/38/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   31     0 |   5.0  11.0 |
    505 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 201/201/0 200/42/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   31     0 |   5.0  11.0 |
    505 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 201/201/0 200/45/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   31     0 |   5.0  11.0 |
    505 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 201/201/0 200/49/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   31     0 |   5.0  11.0 |
    505 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 201/201/0 200/52/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   31     0 |   5.0  11.0 |
    506 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 201/201/0 200/56/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   31     0 |   5.0  11.0 |
    506 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 201/201/0 200/59/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   32     0 |   5.0  11.0 |
    506 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 202/201/1 200/63/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   32     0 |   5.0  11.0 |
    506 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 202/202/0 200/64/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   32     0 |   5.0  11.0 |
    507 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 202/202/0 200/64/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   33     0 |   5.0  11.0 |
    507 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 202/202/0 200/65/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   33     0 |   5.0  11.0 |
    507 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 202/202/0 200/68/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   33     0 |   5.0  11.0 |
    508 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 202/202/0 200/72/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   33     0 |   5.0  11.0 |
    508 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 202/202/0 200/75/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   34     0 |   5.0  11.0 |
    508 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 202/202/0 200/79/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   34     0 |   5.0  11.0 |
    508 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 202/202/0 200/82/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   34     0 |   5.0  11.0 |
    508 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 202/202/0 200/86/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   34     0 |   5.0  11.0 |
    508 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 202/202/0 200/90/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   34     0 |   5.0  11.0 |
    508 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 202/202/0 200/93/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   34     0 |   5.0  11.0 |
    508 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 202/202/0 200/96/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   34     0 |   5.0  11.0 |
    509 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 202/202/0 200/100/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   34     0 |   5.0  11.0 |
    509 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 202/202/0 200/103/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   34     0 |   5.0  11.0 |
    509 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 202/202/0 200/107/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   35     0 |   5.0  11.0 |
    509 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 202/202/0 200/110/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   35     0 |   5.0  11.0 |
    509 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 202/202/0 200/114/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   35     0 |   5.0  11.0 |
    509 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 202/202/0 200/117/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   35     0 |   5.0  11.0 |
    509 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 202/202/0 200/121/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   35     0 |   5.0  11.0 |
    509 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 202/202/0 200/124/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   35     0 |   5.0  11.0 |
    509 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 202/202/0 200/128/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   35     0 |   5.0  11.0 |
    510 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 202/202/0 200/131/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   35     0 |   5.0  11.0 |
    510 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 202/202/0 200/135/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   36     0 |   5.0  11.0 |
    510 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 202/202/0 200/138/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   36     0 |   5.0  11.0 |
    510 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 202/202/0 200/142/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   36     0 |   5.0  11.0 |
    510 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 202/202/0 200/145/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   36     0 |   5.0  11.0 |
    510 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 202/202/0 200/149/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   36     0 |   5.0  11.0 |
    510 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 202/202/0 200/152/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   36     0 |   5.0  11.0 |
    510 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 202/202/0 200/156/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   36     0 |   5.0  11.0 |
    511 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 202/202/0 200/159/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   36     0 |   5.0  11.0 |
    511 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 202/202/0 200/163/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   37     0 |   5.0  11.0 |
    511 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 203/202/1 200/166/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   37     0 |   5.0  11.0 |
    511 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 203/202/1 200/170/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   37     0 |   5.0  11.0 |
    511 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 203/202/1 200/173/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   37     0 |   5.0  11.0 |
    511 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 203/202/1 200/177/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   37     0 |   5.0  11.0 |
    511 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 203/202/1 200/180/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   37     0 |   5.0  11.0 |
    511 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 203/202/1 200/184/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   37     0 |   5.0  11.0 |
    512 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 203/202/1 200/187/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   37     0 |   5.0  11.0 |
    512 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 203/203/0 200/188/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   38     0 |   5.0  11.0 |
    513 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 203/203/0 200/188/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   39     0 |   5.0  11.0 |
    513 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 203/203/0 200/189/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   39     0 |   5.0  11.0 |
    513 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 203/203/0 200/192/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   39     0 |   5.0  11.0 |
    513 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 203/203/0 200/196/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   39     0 |   5.0  11.0 |
    513 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 203/203/0 200/199/1 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   39     0 |   5.0  11.0 |
    513 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 203/203/0 200/200/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   39     0 |   5.0  11.0 |
    514 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 203/203/0 200/200/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   40     0 |   5.0  11.0 |
    515 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 203/203/0 200/200/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   41     0 |   5.0  11.0 |
    516 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 203/203/0 200/200/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   42     0 |   5.0  11.0 |
    516 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 204/204/0 200/200/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   42     0 |   5.0  11.0 |
    517 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 204/204/0 200/200/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   43     0 |   5.0  11.0 |
    518 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 204/204/0 200/200/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   44     0 |   5.0  11.0 |
    519 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 204/204/0 200/200/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   45     0 |   5.0  11.0 |
    520 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 204/204/0 200/200/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   46     0 |   5.0  11.0 |
    521 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 204/204/0 200/200/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   47     0 |   5.0  11.0 |
    521 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 205/205/0 200/200/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   47     0 |   5.0  11.0 |
    522 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 205/205/0 200/200/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   48     0 |   5.0  11.0 |
    523 |  0   0 | [1, 1] [1, 0] [1, 1] |     0 | 205/205/0 200/200/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0   49     0 |   5.0  11.0 |
