=== 330 化霜/辅热 探针 ===
版本 Parameter[0..5] = [0, 1, 0, 0, 0, 0]

--- 加热配置 ---
  再热是否启用[127]=1  制热方式[128]=1 (热泵制热)  共用[129]=1
  再热/辅热方式[332]=1 (AO)  预热输出方式[333]=4
  化霜阀开度 [21](派生)=200   [372](HMI真配)=350

--- 化霜排他性 ---
  **PSC316DefrostOwner = 2**   (0=无人在化霜；单字节 -> 天然唯一)
  外机1: CompStatus=['制热', '制热']  CanDefrost=[0, 0]  DefrostSignal=[0, 0]
  外机2: CompStatus=['停', '停']  CanDefrost=[1, 0]  DefrostSignal=[1, 1]  <== owner
  外机3: CompStatus=['停', '停']  CanDefrost=[0, 0]  DefrostSignal=[0, 0]
  外机4: CompStatus=['停', '停']  CanDefrost=[0, 0]  DefrostSignal=[0, 0]
  外机5: CompStatus=['停', '停']  CanDefrost=[0, 0]  DefrostSignal=[0, 0]
  外机6: CompStatus=['停', '停']  CanDefrost=[0, 0]  DefrostSignal=[0, 0]

--- 辅热 ---
  output[0..2] = [0, 256, 1]  (Heat1Y00/Heat2Y01/Heat3Y02)
  IndoorHeatAnalogDemand = 0   IndoorHeatAnalogMode = 1 (AO)
  ReheatPidStateDisp[942] = 1

=== 10Hz 采样（只记变化）===
  t | Owner | 外机1 CS/CD/DS | 外机2 CS/CD/DS | 外机3 CS/CD/DS | HeatY00/01/02 | AODemand Mode | PIDstate
   228      0  [3, 3]/[0, 0]/[0, 0]  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  2
   230      0  [3, 3]/[0, 0]/[0, 0]  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  2
   233      0  [3, 3]/[0, 0]/[0, 0]  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  2
   236      0  [3, 3]/[0, 0]/[0, 0]  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  2
   238      0  [3, 3]/[0, 0]/[0, 0]  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  3
   239      0  [3, 3]/[0, 0]/[0, 0]  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  3
   242      0  [3, 3]/[0, 0]/[0, 0]  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  3
   243      0  [3, 3]/[0, 0]/[0, 0]  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1     12 1  3
   245      0  [3, 3]/[0, 0]/[0, 0]  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1     12 1  3
   248      0  [3, 3]/[0, 0]/[0, 0]  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1     24 1  3
   248      0  [3, 3]/[0, 0]/[0, 0]  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1     24 1  3
   251      0  [3, 3]/[0, 0]/[0, 0]  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1     24 1  3
   253      0  [3, 3]/[0, 0]/[0, 0]  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1     36 1  3
   254      0  [3, 3]/[0, 0]/[0, 0]  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1     36 1  3
   257      0  [3, 3]/[0, 0]/[0, 0]  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1     36 1  3
   258      0  [3, 3]/[0, 0]/[0, 0]  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1     49 1  3
   260      0  [3, 3]/[0, 0]/[0, 0]  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1     49 1  3
   263      0  [3, 3]/[0, 0]/[0, 0]  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1     61 1  3
   263      0  [3, 3]/[0, 0]/[0, 0]  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1     61 1  3
   266      0  [3, 3]/[0, 0]/[0, 0]  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1     61 1  3
   268      0  [3, 3]/[0, 0]/[0, 0]  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1     73 1  3
   269      0  [3, 3]/[0, 0]/[0, 0]  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1     73 1  3
   272      0  [3, 3]/[0, 0]/[0, 0]  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1     73 1  3
   273      0  [3, 3]/[0, 0]/[0, 0]  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1     85 1  3
   275      0  [3, 3]/[0, 0]/[0, 0]  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1     85 1  3
   278      0  [3, 3]/[0, 0]/[0, 0]  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1     98 1  3
   278      0  [3, 3]/[0, 0]/[0, 0]  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1     98 1  3
   281      0  [3, 3]/[0, 0]/[0, 0]  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1     98 1  3
   283      0  [3, 3]/[0, 0]/[0, 0]  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1    110 1  3
   284      0  [3, 3]/[0, 0]/[0, 0]  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1    110 1  3
   287      0  [3, 3]/[0, 0]/[0, 0]  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1    110 1  3
   288      0  [3, 3]/[0, 0]/[0, 0]  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1    134 1  3
   290      0  [3, 3]/[0, 0]/[0, 0]  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1    134 1  3
   293      0  [3, 3]/[0, 0]/[0, 0]  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1    159 1  3
   293      0  [3, 3]/[0, 0]/[0, 0]  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1    159 1  3
   297      0  [3, 3]/[0, 0]/[0, 0]  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1    159 1  3
   298      0  [3, 3]/[0, 0]/[0, 0]  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1    183 1  3
   300      0  [3, 3]/[0, 0]/[0, 0]  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1    183 1  3
