已连接 state=RUNNING

=== 10Hz 采样（外机1）===
  t(s)  Fan1 Fan2 Stg IIHi Dead TwoF LastPh  ChgSec    Cmd0   Cmd1   Run0  Run1   Stop0  Stop1
  181.60    0    1   4    1    0    0  0, 1    194  49827  49714      0    240    195      0
  182.58    0    1   4    1    0    0  0, 1    195  49827  49715      0    241    196      0
  183.56    0    1   4    1    0    0  0, 1    196  49827  49716      0    242    197      0
  184.54    0    1   4    1    0    0  0, 1    197  49827  49717      0    243    198      0
  185.63    0    1   4    1    0    0  0, 1    198  49827  49718      0    244    199      0
  186.61    0    1   4    1    0    0  0, 1    199  49827  49719      0    245    200      0
  187.59    0    1   4    1    0    0  0, 1    200  49827  49720      0    246    201      0
  188.58    0    1   4    1    0    0  0, 1    201  49827  49721      0    247    202      0
  189.56    0    1   4    1    0    0  0, 1    202  49827  49722      0    248    203      0
  190.54    0    1   4    1    0    0  0, 1    203  49827  49723      0    249    204      0
  191.53    0    1   4    1    0    0  0, 1    203  49827  49723      0    249    205      0
  191.64    0    1   4    1    0    0  0, 1    204  49827  49724      0    250    205      0
  192.64    0    1   4    1    0    0  0, 1    205  49827  49725      0    251    206      0
  193.62    0    1   4    1    0    0  0, 1    206  49827  49726      0    252    207      0
  194.60    0    1   4    1    0    0  0, 1    207  49827  49727      0    253    208      0
  195.59    0    1   4    1    0    0  0, 1    208  49827  49728      0    254    209      0
  196.58    0    1   4    1    0    0  0, 1    209  49827  49729      0    255    210      0
  197.57    0    1   4    1    0    0  0, 1    210  49827  49730      0    256    211      0
  198.55    0    1   4    1    0    0  0, 1    211  49827  49731      0    257    212      0
  199.64    0    1   4    1    0    0  0, 1    212  49827  49732      0    258    213      0
  200.62    0    1   4    1    0    0  0, 1    213  49827  49733      0    259    214      0
  201.61    0    1   4    1    0    0  0, 1    214  49827  49734      0    260    215      0
  202.59    0    1   4    1    0    0  0, 1    215  49827  49735      0    261    216      0
  203.57    0    1   4    1    0    0  0, 1    216  49827  49736      0    262    217      0
  204.56    0    1   4    1    0    0  0, 1    217  49827  49737      0    263    218      0
  205.54    0    1   4    1    0    0  0, 1    217  49827  49737      0    264    219      0
  205.65    0    1   4    1    0    0  0, 1    218  49827  49738      0    264    219      0
  206.63    0    1   4    1    0    0  0, 1    219  49827  49739      0    265    220      0
  207.60    0    1   4    1    0    0  0, 1    220  49827  49740      0    266    221      0
  208.58    0    1   4    1    0    0  0, 1    221  49827  49741      0    267    222      0
  209.56    0    1   4    1    0    0  0, 1    222  49827  49742      0    268    223      0
  210.64    0    1   4    1    0    0  0, 1    223  49827  49743      0    269    224      0
  211.62    0    1   4    1    0    0  0, 1    224  49827  49744      0    270    225      0
  212.60    0    1   4    1    0    0  0, 1    225  49827  49745      0    271    226      0
  213.57    0    1   4    1    0    0  0, 1    226  49827  49746      0    272    227      0
  214.54    0    1   4    1    0    0  0, 1    227  49827  49747      0    273    228      0
  215.63    0    1   4    1    0    0  0, 1    228  49827  49748      0    274    229      0
  216.60    0    1   4    1    0    0  0, 1    229  49827  49749      0    275    230      0
  217.58    0    1   4    1    0    0  0, 1    230  49827  49750      0    276    231      0
  218.56    0    1   4    1    0    0  0, 1    231  49827  49751      0    277    232      0
  219.65    0    1   4    1    0    0  0, 1    232  49827  49752      0    278    233      0
  220.63    0    1   4    1    0    0  0, 1    233  49827  49753      0    279    234      0
  221.61    0    1   4    1    0    0  0, 1    234  49827  49754      0    280    235      0
  222.60    0    1   4    1    0    0  0, 1    235  49827  49755      0    281    236      0
  223.57    0    1   4    1    0    0  0, 1    236  49827  49756      0    282    237      0
  224.56    0    1   4    1    0    0  0, 1    237  49827  49757      0    283    238      0
  225.65    0    1   4    1    0    0  0, 1    238  49827  49758      0    284    239      0
  226.63    0    1   4    1    0    0  0, 1    239  49827  49759      0    285    240      0
  227.61    0    1   4    1    0    0  0, 1    240  49827  49760      0    286    241      0
  228.60    0    1   4    1    0    0  0, 1    241  49827  49761      0    287    242      0
  229.57    0    1   4    1    0    0  0, 1    242  49827  49762      0    288    243      0
  230.55    0    1   4    1    0    0  0, 1    243  49827  49763      0    289    244      0
  231.64    0    1   4    1    0    0  0, 1    244  49827  49764      0    290    245      0
  232.62    0    1   4    1    0    0  0, 1    245  49827  49765      0    291    246      0
  233.60    0    1   4    1    0    0  0, 1    246  49827  49766      0    292    247      0
  234.58    0    1   4    1    0    0  0, 1    247  49827  49767      0    293    248      0
  235.56    0    1   4    1    0    0  0, 1    248  49827  49768      0    294    249      0
  236.65    0    1   4    1    0    0  0, 1    249  49827  49769      0    295    250      0
  237.63    0    1   4    1    0    0  0, 1    250  49827  49770      0    296    251      0
  238.62    0    1   4    1    0    0  0, 1    251  49827  49771      0    297    252      0
  239.60    0    1   4    1    0    0  0, 1    252  49827  49772      0    298    253      0
  240.58    0    1   4    1    0    0  0, 1    253  49827  49773      0    299    254      0
  241.56    0    1   4    1    0    0  0, 1    254  49827  49774      0    300    255      0
  242.64    0    1   4    1    0    0  0, 1    255  49827  49775      0    301    256      0
  243.62    0    1   4    1    0    0  0, 1    256  49827  49776      0    302    257      0
  244.60    0    1   4    1    0    0  0, 1    257  49827  49777      0    303    258      0
  245.58    0    1   4    1    0    0  0, 1    258  49827  49778      0    304    259      0
  246.56    0    1   4    1    0    0  0, 1    259  49827  49779      0    305    260      0
  247.65    0    1   4    1    0    0  0, 1    260  49827  49780      0    306    261      0
  248.64    0    1   4    1    0    0  0, 1    261  49827  49781      0    307    262      0
  249.62    0    1   4    1    0    0  0, 1    262  49827  49782      0    308    263      0
  250.60    0    1   4    1    0    0  0, 1    263  49827  49783      0    309    264      0
  251.58    0    1   4    1    0    0  0, 1    264  49827  49784      0    310    265      0
  252.56    0    1   4    1    0    0  0, 1    265  49827  49785      0    311    266      0
  253.65    0    1   4    1    0    0  0, 1    266  49827  49786      0    312    267      0
