=== 定时化霜可达性探针（拔探头时盯）===
版本 = [316, 12, 14, 2026, 9, 17]   机型=2 风机=2   Comp1Enable[152]=0
环温 = 5.0C   翅片1 = -21.9C
化霜参数: [182]定时化霜温度设定=9.0  [183]定时间隔=29分  [184]定时化霜时间=3分  [185]压机最小运行=9分

  故障字(605~620)   TMode Y05 CRT Gap0 | St Elig End Strt Comp Four Fan | NEnv TEnv FinLow0 | 环温 翅片1 | 动作
     120  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   47     30 |   5.0 -21.9 |
     121  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   48     30 |   5.0 -21.9 |
     122  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   49     30 |   5.0 -21.9 |
     123  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   50     30 |   5.0 -21.9 |
     124  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   51     30 |   5.0 -21.9 |
     125  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   52     30 |   5.0 -21.9 |
     126  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   53     30 |   5.0 -21.9 |
     127  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   54     30 |   5.0 -21.9 |
     128  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   55     30 |   5.0 -21.9 |
     129  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   56     30 |   5.0 -21.9 |
     130  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   57     30 |   5.0 -21.9 |
     131  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   58     30 |   5.0 -21.9 |
     132  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   59     30 |   5.0 -21.9 |
     133  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   60     30 |   5.0 -21.9 |
  [ 885.8] !! 读失败: USB Error: [Errno 32] Pipe error
  [ 886.0] !! 读失败: USB Error: [Errno 5] Input/Output Error
  [ 886.2] !! 读失败: USB Error: [Errno 5] Input/Output Error
  [ 886.4] !! 读失败: USB Error: [Errno 5] Input/Output Error
  [ 886.6] !! 读失败: USB Error: [Errno 5] Input/Output Error
  [ 886.8] !! 读失败: USB Error: [Errno 5] Input/Output Error
  [ 887.0] !! 读失败: USB Error: [Errno 5] Input/Output Error
  [ 887.2] !! 读失败: USB Error: [Errno 5] Input/Output Error
  [ 887.4] !! 读失败: USB Error: [Errno 5] Input/Output Error
  [ 887.6] !! 读失败: USB Error: [Errno 5] Input/Output Error
  [ 887.8] !! 读失败: USB Error: [Errno 5] Input/Output Error
  [ 888.0] !! 读失败: USB Error: [Errno 5] Input/Output Error
  [ 888.2] !! 读失败: USB Error: [Errno 5] Input/Output Error
  [ 888.4] !! 读失败: USB Error: [Errno 5] Input/Output Error
  [ 888.6] !! 读失败: USB Error: [Errno 5] Input/Output Error
  [ 888.8] !! 读失败: USB Error: [Errno 5] Input/Output Error
  [ 889.0] !! 读失败: USB Error: [Errno 5] Input/Output Error
  [ 889.2] !! 读失败: USB Error: [Errno 5] Input/Output Error
  [ 889.4] !! 读失败: USB Error: [Errno 5] Input/Output Error
  [ 889.6] !! 读失败: USB Error: [Errno 5] Input/Output Error
  [ 889.8] !! 读失败: USB Error: [Errno 5] Input/Output Error
  [ 890.0] !! 读失败: USB Error: [Errno 5] Input/Output Error
  [ 890.2] !! 读失败: USB Error: [Errno 5] Input/Output Error
  [ 890.4] !! 读失败: USB Error: [Errno 5] Input/Output Error
  [ 890.6] !! 读失败: USB Error: [Errno 5] Input/Output Error
  [ 890.8] !! 读失败: USB Error: [Errno 5] Input/Output Error
  [ 891.0] !! 读失败: USB Error: [Errno 5] Input/Output Error
  [ 891.2] !! 读失败: USB Error: [Errno 5] Input/Output Error
  [ 891.4] !! 读失败: USB Error: [Errno 5] Input/Output Error
  [ 891.6] !! 读失败: USB Error: [Errno 5] Input/Output Error
  [ 891.8] !! 读失败: USB Error: [Errno 5] Input/Output Error
  [ 892.1] !! 读失败: USB Error: [Errno 5] Input/Output Error
  [ 892.3] !! 读失败: USB Error: [Errno 5] Input/Output Error
  [ 892.5] !! 读失败: USB Error: [Errno 5] Input/Output Error
  [ 892.7] !! 读失败: USB Error: [Errno 5] Input/Output Error
  [ 892.9] !! 读失败: USB Error: [Errno 5] Input/Output Error
